Registry ID,Co-op Name,Incorporation Year,Address,Town,Province/State,Postal Code,Non-Profit(N)/For-Profit(P),Type
3309533,ABILITY WOOD PRODUCTS CO-OPERATIVE LIMITED,2017,40 LOWER MACLEAN STREET,GLACE BAY,NS,B1A 2K7,P,RETAIL CONSUMER PRODUCTS
3251438,(ACBC) ATLANTIC COUNCIL BIOENERGY COOPERATIVE LIMITED,2011,60 TWEEDNOOGE PLACE,EAST BAY,NS,B1J 1M6,N,SERVICES
3277515,AFRICAN COMMUNITY INVESTMENTS COOPERATIVE OF CANADA LTD.,2013,"VEITH HOUSE, 
3115 VEITH STREET",HALIFAX,NS,B3K 3G9,P,INVESTMENT
3265866,AILEEN'S PETS WITHOUT VETS CO-OPERATIVE LTD.,2012,"PO BOX 45, STN WHITNEY PIER",SYDNEY,NS,B1N 3B1,N,SERVICES
3233867,ALL NOVA SCOTIA GREEN CHRISTMAS TREE CO-OP LTD.,2009,PO BOX 98,NEW GERMANY,NS,B0R 1E0,P,FOREST PRODUCTS
3280780,AMHERST TRAIN STATION ARTISAN GALLERY COOPERATIVE LIMITED,2014,"142 SOUTH ALBION STREET, SUITE 130",AMHERST,NS,B4H 4H4,N,CRAFT PRODUCTS
3293059,ANTIGONISH COMMUNITY ENERGY COOPERATIVE LIMITED,2015,59 MACKEN ROAD,ANTIGONISH LANDING,NS,B2G 2L2,N,SERVICES
3254480,ARGYLE FARMERS' & ARTISANAL MARKET CO-OPERATIVE LIMITED,2011,67 WILLIAM ROBBINS ROAD,TUSKET,NS,B0W 3M0,N,AGRICULTURE
3232669,ART 1274 HOLLIS CO-OPERATIVE LIMITED,2008,1274 HOLLIS STREET,HALIFAX,NS,B3J 1T6,N,CRAFT PRODUCTS
3280816,ARTISYNC TECHNOLOGIES CO-OP LTD.,2014,812 UPPER PRINCE STREET,SYDNEY,NS,B1P 5N7,P,CRAFT PRODUCTS
3277711,ARTPORT GALLERY COOPERATIVE LIMITED,2014,701 LAKEVIEW AVENUE,MIDDLE SACKVILLE,NS,B4E 3B8,N,CRAFT PRODUCTS
3246190,CAPE NORTH FARMERS MARKET COOPERATIVE LIMITED,2010,C/O BOX 48,ST. MARGARET VILLAGE,NS,B0C 1R0,N,AGRICULTURE
3268827,CARBON ARC CINEMA COOPERATIVE LTD.,2013,35 WOODLAND AVE,DARTMOUTH,NS,B3A 3J6,N,SERVICES
3302211,CEDAR LAKE WIRELESS COOPERATIVE LTD.,2016,PO BOX 112,PORT MAITLAND,NS,B5A 5R9,N,SERVICES
3231260,CELTIC HEART OF NORTH AMERICA COOPERATIVE LIMITED,2008,"850 GRAND LAKE ROAD, SUITE 8",SYDNEY,NS,B1P 5T9,N,CRAFT PRODUCTS
3261409,CMEC ALUMNI & STUDENT CO-OP LTD.,2012,"SAINT MARY'S UNIVERSITY, 
923 ROBIE STREET",HALIFAX,NS,B3H 3C3,N,SERVICES
3298899,COMPASS NOVA SCOTIA CO-OPERATIVE HOMES LTD.,2016,405- 202 BROWNLOW AVENUE,DARTMOUTH,NS,B3B 1T5,N,HOUSING
3311253,CT PURCHASING CO-OPERATIVE LIMITED,2017,PO BOX 997,HALIFAX,NS,B3J 2X2,P,AGRICULTURE
3293305,CUMBERLAND COUNTY SALT HAULERS CO-OPERATIVE LIMITED,2015,"1821 BECKWITH ROAD, RR#1",OXFORD,NS,B0M 1P0,P,WORKER LABOUR
3252678,DMV THEATRE CO-OP LTD.,2011,14 NICKERSON ROAD,EAST PENNANT,NS,B3V 1L9,N,SERVICES
3270113,EARRAS CO-OPERATIVE OF MABOU LTD.,2013,PO BOX 262,MABOU,NS,B0E 1X0,N,SERVICES
3279775,EASTERN SHORE COOPERATOR PUBLICATIONS COOPERATIVE LIMITED,2014,11 EAST PETPESWICK ROAD,MUSQUODOBOIT HARBOUR,NS,B0J 1L0,N,CRAFT PRODUCTS
3230550,EVANGELINE ARTISTS' COOPERATIVE LTD.,2008,185 WEST LONG ISLAND ROAD,GRAND PRÉ,NS,B0P 1M0,N,CRAFT PRODUCTS
3309530,FAIRVIEW NEIGHBOURHOOD COOPERATIVE LIMITED,2017,28 WILLETT STREET,HALIFAX,NS,B3N 3B2,N,SERVICES
3254330,FARMWORKS INVESTMENT CO-OPERATIVE LIMITED,2011,70 EDEN ROW,WOLFVILLE,NS,B4P 2R2,P,INVESTMENT
3296530,FISHERMAN'S COVE GALLERY CO-OP LTD.,2016,"PO BOX 564, STN MAIN",EASTERN PASSAGE,NS,B3G 1M8,N,CRAFT PRODUCTS
3258610,GETTING TO KNOW CANCER COOPERATIVE LTD.,2011,36 ARTHUR STREET,TRURO,NS,B2N 1X5,N,SERVICES
3264189,GRASS ROOTS UP CO-OPERATIVE LIMITED,2012,8618 HIGHWAY 366,AMHERST,NS,B4H 3Y2,P,AGRICULTURE
3299462,GREAT ISLAND ARTS CO-OPERATIVE LIMITED,2016,5525 BLACK STREET,HALIFAX,NS,B3K 1P7,N,CRAFT PRODUCTS
3252414,GUYSBOROUGH COMMUNITY MARKET CO-OPERATIVE LIMITED,2011,"7035 HIGHWAY 16, RR2",GUYSBOROUGH,NS,B0H 1N0,N,AGRICULTURE
3247342,HALIFAX BREWERY FARMERS' MARKET CO-OP LTD.,2010,312 - 1496 LOWER WATER STREET,HALIFAX,NS,B3J 1R9,N,AGRICULTURE
3235541,HALIFAX CIRCUS CO-OPERATIVE LTD.,2009,P.O. BOX 29112,HALIFAX,NS,B3L 4T8,N,WORKER LABOUR
3265337,HALIFAX MUSIC CO-OPERATIVE LIMITED,2012,2107 BRUNSWICK STREET,HALIFAX,NS,B3K 2Y8,N,SERVICES
3256143,HARMONY HEALTH CENTRE COOPERATIVE LIMITED,2011,1153 KING STREET,BRIDGEWATER,NS,B4V 1C3,P,SERVICES
3252423,HERITAGE BOAT YARD COOPERATIVE LIMITED,2011,"PO BOX 672, 30 SCHOOL STREET",MAHONE BAY,NS,B0J 2E0,N,SERVICES
3287240,HERMES ART GALLERY CO-OPERATIVE LIMITED,2015,"5682 NORTH STREET, #101",HALIFAX,NS,B3K 1N4,N,CRAFT PRODUCTS
3270137,HOME HEIRLOOMS CO-OPERATIVE LIMITED,2013,216 COLLIER ROAD WEST,ELLERSHOUSE,NS,B0N 1L0,N,SERVICES
3308208,HOPE PROJECT ADDICTION RECOVERY SERVICES CO-OPERATIVE LIMITED,2017,12 WATSON ROAD,POINT EDWARD HWY,NS,B2A 4P7,N,SERVICES
3294675,HOPE SEEDS CO-OPERATIVE LIMITED,2015,PO BOX 460,ANNAPOLIS ROYAL,NS,B0S 1A0,P,AGRICULTURE
3252167,KAZAN CO-OP LTD.,2011,1772 OXFORD STREET,HALIFAX,NS,B3H 3Z6,N,SERVICES
3278800,KLMPT HOUSE CO-OP LIMITED,2014,"2153 HWY #1, RR #2",ANNAPOLIS ROYAL,NS,B0S 1A0,P,HOUSING
3246424,LA COOPÉRATIVE DE TRANSPORT DE CHÉTICAMP LIMITÉE,2010,C.P. 1039,CHETICAMP,NS,B0E 1H0,N,SERVICES
3288944,LAHAVE CRAFT COOPERATIVE LIMITED,2015,PO BOX 731,LUNENBURG,NS,B0J 2C0,N,CRAFT PRODUCTS
3301326,LAWRENCETOWN COMMUNITY DEVELOPMENT CO-OPERATIVE LTD.,2016,"108 LAWRENCETOWN LANE, RR1",LAWRENCETOWN,NS,B0S 1M0,P,INVESTMENT
3302530,LOCHABER GROWERS COOPERATIVE LTD.,2016,"QUINN FARM, 1772 HWY 7",NORTH LOCHABER,NS,B2G 2L3,N,AGRICULTURE
3289866,MABOU FARMERS MARKET COOPERATIVE LIMITED,2015,BOX 155,MABOU,NS,B0E 1X0,N,AGRICULTURE
3225644,MARGAREE TOURISM ASSOCIATION CO-OPERATIVE LIMITED,2008,PO BOX 527,MARGAREE FORKS,NS,B0E 2A0,N,WORKER LABOUR
3256149,MARITIME HOP GROWERS CO-OPERATIVE LIMITED,2011,35 MCINNIS ROAD,MALAGASH,NS,B0K 1E0,P,AGRICULTURE
3306059,MARITIME SMALL FARMS CO-OP LTD.,2017,"1233 CAPE SPLIT ROAD, RR3",SCOTS BAY,NS,B0P 1H0,P,AGRICULTURE
3311522,MARITIME SOLAR NS CO-OPERATIVE LIMITED,2017,PO BOX 1570,SUMMERSIDE,PE,C1N 4K4,P,SERVICES
3280607,MEDWAY COMMUNITY FOREST CO-OPERATIVE LTD.,2014,PO BOX 157,CALEDONIA,NS,B0T 1B0,P,FOREST PRODUCTS
3247949,MELVILLE DRIVE CO-OPERATIVE LTD.,2010,62 MELVILLE DRIVE,BROOKFIELD,NS,B0N 1C0,N,SERVICES
3238229,MIDDLETON FARMERS' MARKET COOPERATIVE LIMITED,2009,"C/O 6160 HIGHWAY 10, RR #3",MIDDLETON,NS,B0S 1P0,N,AGRICULTURE
3260806,MUSGO RIDER COOPERATIVE LTD.,2012,PO BOX 91,MUSQUODOBOIT,NS,B0J 2L0,N,SERVICES
3296525,MUSGO RIDER VALLEY-SHEET HARBOUR COOPERATIVE LTD.,2016,P.O. BOX 91,MUSQUODOBOIT,NS,B0J 2L0,N,SERVICES
3234142,MUSQUODOBOIT HARBOUR FARMERS MARKET CO-OPERATIVE LTD.,2009,22 DEBAIES COVE ROAD,LAKE CHARLOTTE,NS,B0J 1Y0,N,AGRICULTURE
3307061,MUTUAL ALLIANCE CO-OPERATIVE LIMITED,2017,22498 CREEK ROAD,CHATHAM,ON,N7M 5J3,P,INVESTMENT
3294154,NATURA HOLDINGS CO-OP LTD.,2015,73-B PRINCE STREET,BRIDGEWATER,NS,B4V 1C9,P,HOUSING
3267523,NEEDHAM HOUSING CO-OPERATIVE LIMITED,2012,C/O COMMUNITY HOUSING MANAGEMENT NETWORK,"207-59 INGLIS PLACE, TRURO",NS,B2N 4B5,N,HOUSING
3299778,NEUROQUALIA CO-OPERATIVE LTD.,2016,"ROOM 229A, FORRESTER HALL, 36 ARTHUR ST",TRURO,NS,B2N 1X5,N,SERVICES
3308322,NEWCAPELAND PROPERTIES CO-OP LTD.,2017,22498 CREEK ROAD,CHATHAM,ON,N7M 5J3,P,SERVICES
3270325,NEW EDINGBURGH ARTIST'S COLONY CO-OP LTD.,2013,81 LINCOLN AVENUE,PORTSMOUTH,NEW HAMPSHIRE,NH03801,N,CRAFT PRODUCTS
3238983,NEW GLASGOW FARMERS MARKET COOPERATIVE LIMITED,2009,58 THIRTEENTH STREET,THORBURN,NS,B0K 1X0,N,AGRICULTURE
3293293,NORTH QUEENS BUSINESS CENTRE & INNOVATION HUB CO-OP LTD.,2015,PO BOX 186,CALEDONIA,NS,B0T 1B0,N,SERVICES
3295767,NORTH STAR YACHT CLUB CO-OPERATIVE LTD.,2016,520 PURCELLS COVE ROAD,HALIFAX,NS,B3P 2G3,N,SERVICES
3291314,NOVA SCOTIA CO-OPERATIVE COUNCIL LIMITED,2015,PO BOX 1872,TRURO,NS,B2N 6C7,N,SERVICES
3230729,NOVA SCOTIA FARMERS' MARKET DEVELOPMENT COOPERATIVE LTD.,2008,25 HIGHLAND DRIVE,TRURO,NS,B2N 1B8,N,INVESTMENT
3246517,OFF THE HOOK COOPERATIVE LTD.,2010,2705 FERN LANE,HALIFAX,NS,B3K 4L3,P,FISH PRODUCTS
3289711,PAN CAPE BRETON FOOD HUB CO-OPERATIVE LTD.,2015,PO BOX 849,BADDECK,NS,B0E 2B0,N,AGRICULTURE
3292144,PLANIFAX PRODUCTION CO-OPERATIVE LIMITED,2015,34- 6080 PEPPERELL STREET,HALIFAX,NS,B3H 2N7,N,MISCELLANEOUS
3279073,PRIVATEER FARMERS MARKET CO-OPERATIVE LIMITED,2014,2175 EASTERN SHORE ORAD,BROOKLYN,NS,B0J 1H0,N,AGRICULTURE
3310171,RADICAL ROOTS MARKET CO-OPERATIVE LIMITED,2017,6250 NORTH STREET,HALIFAX,NS,B3L 1P5,N,RETAIL CONSUMER PRODUCTS
3251756,RED BRICK ROW INVESTMENT CO-OPERATIVE LIMITED,2011,PO BOX 42,SYDNEY,NS,B1P 6J9,P,INVESTMENT
3296528,RED CLAY CONSERVATION COOPERATIVE LIMITED,2016,4715 HIGHWAY #2,UPPER ECONOMY,NS,B0M 1B0,P,SERVICES
3313807,RIVARD'S LUMBER & HARDWARE CO-OP LTD.,2017,22498 CREEK RD,CHATHAM,ON,N7M 5J3,P,FOREST PRODUCTS
3234987,RIVERFEST CO-OP LIMITED,2009,2319 LOWER BRANCH RD,NEW CANADA,NS,B4V 4V7,N,WORKER LABOUR
3247429,SADUKE HOUSING CO-OPERATIVE LIMITED,2010,"PO BOX 152, DMPS",DARTMOUTH,NS,B2Y 3Y3,N,HOUSING
3245765,SERVING SENIORS ALLIANCE COOPERATIVE LTD.,2010,PO BOX 23184,DARTMOUTH,NS,B3A 4S9,N,SERVICES
3252348,SHELBURNE FARMERS AND ARTISANS CO-OP LTD.,2011,PO BOX 1553,SHELBURNE,NS,B0T 1W0,N,AGRICULTURE
3229301,SMART CHRISTMAS TREE RESEARCH COOPERATIVE LTD.,2008,P.O. BOX 8,TATAMAGOUCHE,NS,B0K 1V0,P,FOREST PRODUCTS
3306569,SOIL MATES COOPERATIVE LIMITED,2017,404 FARMINGTON RD,BARSS CORNER,NS,B0R 1A0,P,AGRICULTURE
3309375,SOUTH SHORE TOURISM COOPERATIVE LIMITED,2017,527 HWY 10,COOKVILLE,NS,B4V 7P4,N,SERVICES
3310038,SPRUCE DRIVE CO-OPERATIVE LTD.,2017,14 SPRUCE DRIVE,HEATHERTON,NS,B0H 1R0,N,SERVICES
3267060,THE BUS STOP THEATRE COOPERATIVE LTD.,2012,2203 GOTTINGEN STREET,HALIFAX,NS,B3K 3B5,N,SERVICES
3273128,THE COMMUNITY CARROT CO-OPERATIVE LIMITED,2013,PO BOX 730,HALIFAX,NS,B3J 2V1,P,RETAIL CONSUMER PRODUCTS
3235926,THE DANDELION COMMUNITY INVESTMENT COOPERATIVE LIMITED,2009,209 MAIN STREET,WOLFVILLE,NS,B4P 1C3,P,INVESTMENT
3256956,THE DEANERY PROJECT CO-OPERATIVE LTD.,2011,751 WEST SHIP HARBOUR ROAD,LOWER SHIP HARBOUR,NS,B0J 1Y0,N,SERVICES
3255104,THE LOADED LADLE HALIFAX CO-OPERATIVE LTD.,2011,6136 UNIVERSITY AVENUE,HALIFAX,NS,B3H 4R2,N,SERVICES
3245670,THE OLD SCHOOL COMMUNITY GATHERING PLACE CO-OPERATIVE LIMITED,2010,PO BOX 185,MUSQUODOBOIT HARBOUR,NS,B0J 2L0,N,SERVICES
3237614,THERMALWISE GREEN BUILDING CO-OPERATIVE LIMITED,2009,8-40 THORNHILL DRIVE,DARTMOUTH,NS,B3B 1S1,P,WORKER LABOUR
3256960,THE WINDING RIVER ART GALLERY CO-OPERATIVE LIMITED,2011,PO BOX 129,STEWIACKE,NS,B0N 2J0,N,CRAFT PRODUCTS
3305304,THE WINDSHIP COOPERATIVE LTD.,2017,PO BOX 595,LUNENBURG,NS,B0J 2C0,N,SERVICES
3245666,TIDNISH BRIDGE ART GALLERY CO-OP LIMITED,2010,3314 HWY 366,TIDNISH BRIDGE,NS,B4H 3X9,N,CRAFT PRODUCTS
3283084,TWO LITTLE MONKEYS CO-OP LTD.,2014,1 THISTLE STREET,DARTMOUTH,NS,B3A 2V3,N,CRAFT PRODUCTS
3295869,WENTWORTH LEARNING CENTRE COOPERATIVE LTD.,2016,13371 HWY 4,WENTWORTH,NS,B0M 1Z0,N,SERVICES
3302527,WESTERN WOODLOT SERVICES COOPERATIVE LTD.,2016,"RR1, CHURCH POINT, BOX 119-B",DIGBY COUNTY,NS,B0W 1M0,N,FOREST PRODUCTS
3255581,WEST GORE CEMETERY CO-OPERATIVE LTD.,2011,2695 RTE 236,KENNETCOOK,NS,B0N 1P0,N,SERVICES
3257242,WEST SIDE PERFORMING ARTS COOPERATIVE LIMITED,2011,"936 CHETICAMP BACK ROAD, PO BOX 43",CHETICAMP,NS,B0E 1H0,N,WORKER LABOUR
3254486,YARMOUTH FARMERS' COMMUNITY MARKET CO-OPERATIVE LIMITED,2011,PO BOX 211,YARMOUTH,NS,B5A 4B2,N,AGRICULTURE
